Node,superkingdom,kingdom,phylum
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392033, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
433720, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762512, Eukaryota , Metazoa , Rotifera 
392030, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
111125, Eukaryota , Metazoa , Chordata 
392032, Eukaryota , Metazoa , Rotifera 
111125, Eukaryota , Metazoa , Chordata 
345717, Eukaryota , Metazoa , Arthropoda 
345717, Eukaryota , Metazoa , Arthropoda 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
392032, Eukaryota , Metazoa , Rotifera 
111125, Eukaryota , Metazoa , Chordata 
392032, Eukaryota , Metazoa , Rotifera 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
2762511, Eukaryota , Metazoa , Rotifera 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
2762511, Eukaryota , Metazoa , Rotifera 
2762511, Eukaryota , Metazoa , Rotifera 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
111125, Eukaryota , Metazoa , Chordata 
4432, Eukaryota , Viridiplantae , Streptophyta 
4432, Eukaryota , Viridiplantae , Streptophyta 
374723, Eukaryota , Viridiplantae , Streptophyta 
374723, Eukaryota , Viridiplantae , Streptophyta 
374723, Eukaryota , Viridiplantae , Streptophyta 
374723, Eukaryota , Viridiplantae , Streptophyta 
374723, Eukaryota , Viridiplantae , Streptophyta 
