Node,"['Kingdom', 'N', 'C']"
419077,"['E', 'Adelges', 'Eastern']"
462377,"['E', 'Adenostyles', 'Alpine']"
479879,"['E', 'Adenomera', 'Lowland']"
114429,"['V', 'Bovine', 'BAdV-2']"
10510,"['V', 'Bovine', 'BAdV-3']"
70333,"['V', 'Bovine', 'BAdV-4']"
10511,"['V', 'Bovine', 'BAdV-7']"
39788,"['V', 'Bovine', 'BAdV-10']"
311011,"['E', 'Adelpha', ""Bredow's""]"
10514,"['V', 'Canine', 'CAdV-2']"
574363,"['E', 'Adelpha', 'California']"
69150,"['V', 'Canine', 'CAdV-1']"
10513,"['V', 'Canine', 'CAdV-1']"
133065,"['E', 'Adelges', 'Cooley']"
69151,"['V', 'Canine', 'CAdV-1']"
69152,"['V', 'Canine', 'CAdV-2']"
36364,"['V', 'Canine', 'CAdV-1']"
56633,"['E', 'Adenia', 'Wild']"
46916,"['V', 'Equine', 'EAdV-1']"
67603,"['V', 'Equine', 'EAdV-2']"
114102,"['V', 'Frog', 'FrAdV-1']"
140993,"['E', 'Adenostoma', 'Chamise']"
298331,"['V', 'Frog', 'FrAdV']"
10553,"['V', 'Fowl', 'FAdV-1']"
66295,"['V', 'Avian', 'FAdV-8']"
237833,"['E', 'Adenia', 'Oloru']"
10547,"['V', 'Fowl', 'FAdV-10']"
41468,"['E', 'Adenocaulon', 'Trailplant']"
326184,"['E', 'Adenomera', 'Napo']"
185462,"['E', 'Adenophorus', 'Filmy']"
104308,"['E', 'Adesmia', '']"
236346,"['E', 'Adelphocoris', 'Alfalfa']"
133063,"['E', 'Adelges', 'Larch']"
10530,"['V', 'Murine', 'MAdV-1']"
1349687,"['E', 'Adenomera', 'Marbled']"
304594,"['E', 'Adelomyia', 'Speckled']"
114430,"['V', 'Ovine', 'OAdV-7']"
69375,"['E', 'Adenium', 'Desert']"
130327,"['V', 'Ovine', 'OAdV-D']"
54927,"['E', 'Adenanthos', 'Basket']"
35265,"['V', 'Porcine', 'PAdV-3']"
35267,"['V', 'Porcine', 'PAdV-4']"
3811,"['E', 'Adenanthera', 'Sandal']"
749403,"['E', 'Adelges', 'Balsam']"
185464,"['E', 'Adenophorus', 'Pendant']"
185465,"['E', 'Adenophorus', 'Graceful']"
428835,"['E', 'Adelieledone', 'Antarctic']"
189830,"['V', 'Snake', 'SnAdV-1']"
10532,"['V', 'Simian', 'SAdV-7']"
16929,"['E', 'Adenanthos', 'Woolly']"
47680,"['V', 'Tree', 'TSAdV-1']"
185467,"['E', 'Adenophorus', 'Royal']"
357502,"['E', 'Adelges', 'Hemlock']"
76949,"['E', 'Adenandra', 'China']"
419083,"['E', 'Adelges', 'Green']"
219186,"['E', 'Adenia', 'Kilyambiti']"
325918,"['E', 'Adhemarius', 'Sphinx']"
38043,"['E', 'Adisura', '']"
13818,"['E', 'Adiantum', 'Maidenhair']"
1418983,"['E', 'Adipicola', 'Saltwater']"
433695,"['E', 'Adineta', 'Rotifer']"
1418984,"['E', 'Adipicola', 'Saltwater']"
451080,"['E', 'Adiantum', 'Maidenhair']"
29590,"['E', 'Adiantum', 'Northern']"
32168,"['E', 'Adiantum', 'Maidenhair']"
249248,"['E', 'Adineta', 'Rotifer']"
104782,"['E', 'Adineta', 'Rotifer']"
73670,"['E', 'Adolphia', 'California']"
85585,"['E', 'Adoxophyes', 'Smaller']"
4208,"['E', 'Adoxa', 'Moschatel']"
480707,"['E', 'Adoxophyes', 'Summer']"
46985,"['E', 'Adonis', ""Pheasant's""]"
10783,"['V', 'Aleutian', 'ADV']"
1036672,"['B', 'Advenella', '']"
1247726,"['B', 'Advenella', '']"
190660,"['E', 'Aechmophorus', ""Clark's""]"
57236,"['E', 'Aechmophorus', 'Western']"
7159,"['E', 'Aedes', 'Yellowfever']"
7160,"['E', 'Aedes', 'Asian']"
120872,"['E', 'Aedes', 'Small']"
35338,"['V', 'Aedes', 'AaPV']"
10808,"['V', 'Aedes', '']"
658031,"['E', 'Aedes', 'Mosquito']"
299627,"['E', 'Aedes', 'Mosquito']"
140438,"['E', 'Aedes', 'Asian']"
1579483,"['E', 'Aedes', 'Mosquito']"
299629,"['E', 'Aedes', 'Mosquito']"
1424567,"['E', 'Aedes', 'Mosquito']"
1579489,"['E', 'Aedes', 'Mosquito']"
188700,"['E', 'Aedes', 'Polynesian']"
316597,"['E', 'Aedes', 'Mosquito']"
